dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/30/2013 4:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035133333,0.009,0.051,,,,,,0.011933333,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 4:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035533333,0.009,0.050133333,,,,,,0.038066667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 4:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.049533333,,,,,,0.0086,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 3:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0356,0.009,0.050333333,,,,,,0.0472,,,,,,0.003866667,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 3:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.050866667,,,,,,0,,,,,,0.003066667,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 3:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.009,0.049666667,,,,,,0.047266667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 3:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.049333333,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 2:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.009,0.0506,,,,,,0.047266667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 2:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.050933333,,,,,,0,,,,,,0.003066667,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 2:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.009,0.0504,,,,,,0.048,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 2:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.0498,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 1:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.009,0.05,,,,,,0.047866667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 1:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.050133333,,,,,,0,,,,,,0.003933333,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 1:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0354,0.009,0.050333333,,,,,,0.047933333,,,,,,0.003733333,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 1:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.009,0.049466667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 0:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.009,0.0498,,,,,,0.047733333,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 0:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035666667,0.008333333,0.0494,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 0:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035666667,0.008,0.049,,,,,,0.047333333,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 0:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.008,0.090066667,,,,,,0,,,,,,0.002,,,,,,0.062,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 23:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.036466667,0.008,0.246,,,,,,0.0478,,,,,,0,,,,,,0.181666667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 23:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.008,0.2454,,,,,,0,,,,,,0.0006,,,,,,0.1792,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 23:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.008,0.2442,,,,,,0.0476,,,,,,0,,,,,,0.178466667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 23:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.008,0.245333333,,,,,,0,,,,,,0,,,,,,0.178533333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 22:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0358,0.0076,0.2456,,,,,,0.047666667,,,,,,0,,,,,,0.1778,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 22:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035266667,0.007,0.245533333,,,,,,0,,,,,,0,,,,,,0.175466667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/29/2013 22:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034933333,0.007,0.245933333,,,,,,0.0478,,,,,,0,,,,,,0.174933333,,,,0,,,,,,,,,,,,,,,0,,,,
